,Adjectives
0,worst
1,worst
2,best
3,best
4,least
5,better
6,worst
7,worst
8,least
9,worse
10,less
11,older
12,larger
13,best
14,premier
15,biggest
16,worst
17,rest
18,better
19,answer
20,worse
21,better
22,cheaper
23,quieter
24,best
25,rest
26,older
27,best
28,longer
29,better
30,less
31,least
32,less
33,less
34,worst
35,worst
36,honest
37,backrest
38,older
39,slightest
40,bother
41,best
42,better
43,earliest
44,worst
45,better
46,earlier
47,longer
48,least
49,least
50,worst
51,worst
52,worse
53,less
54,larger
55,slightest
56,least
57,worse
58,worst
59,cheapest
60,lowest
61,less
62,higher
63,best
64,worst
65,worst
66,worst
67,least
68,budapest
69,worse
70,younger
71,older
72,least
73,super
74,older
75,worst
76,worst
77,honest
78,less
79,latest
80,cheaper
81,larger
82,tiniest
83,best
84,worst
85,worst
86,largest
87,least
88,easier
89,detest
90,best
91,best
92,best
93,best
94,better
95,headrest
96,worst
97,best
98,worst
99,least
100,better
101,least
102,worst
103,worse
104,smallest
105,cheaper
106,worst
107,worst
108,best
109,closest
110,best
111,least
112,less
113,best
114,worst
115,higher
116,voucher
117,longer
118,best
119,least
120,less
121,cheaper
122,easier
123,less
124,less
125,older
126,cancelled
127,less
128,less
129,best
130,singapore
131,lowest
132,least
133,best
134,least
135,smaller
136,less
137,nicest
138,best
139,older
140,worst
141,earlier
142,worse
143,cheaper
144,older
145,least
146,worst
147,voucher
148,request
149,best
150,better
151,worst
152,least
153,hanger
154,worst
155,earlier
156,best
157,smaller
158,lower
159,better
160,worst
161,worse
162,best
163,latest
164,better
165,worst
166,best
167,worst
168,yes
169,best
170,larger
171,worse
172,worse
173,worst
174,better
175,older
176,best
177,best
178,cheapest
179,guest
180,better
181,lower
182,counter
183,least
184,better
185,honest
186,least
187,less
188,less
189,better
190,smoothest
191,yes
192,older
193,worse
194,better
195,rest
196,least
197,answer
198,least
199,smaller
200,finest
201,worse
202,better
203,least
204,least
205,least
206,worst
207,better
208,honest
209,better
210,best
211,smaller
212,voucher
213,least
214,voucher
215,best
216,latest
217,stirrer
218,clearer
219,worse
220,cheaper
221,cheapest
222,cheapest
223,cheaper
224,budapest
225,earlier
226,earlier
227,least
228,cavalier
229,best
230,narrowest
231,smallest
232,best
233,best
234,worst
235,bother
236,nicest
237,shower
238,best
239,best
240,best
241,least
242,least
243,voucher
244,voucher
245,better
246,voucher
247,bigger
248,voucher
249,worse
250,older
251,heard
252,worse
253,better
254,poorer
255,mother
256,better
257,older
258,rest
259,lower
260,best
261,best
262,worse
263,best
264,weaker
265,brightest
266,flagcarrier
267,worse
268,strongest
269,less
270,better
271,best
272,better
273,sooner
274,least
275,best
276,best
277,outer
278,best
279,best
280,less
281,best
282,cheaper
283,oldest
284,guest
285,guest
286,best
287,bucharest
288,worst
289,budapest
290,budapest
291,budapest
292,best
293,answer
294,cheaper
295,better
296,wonder
297,better
298,least
299,poorest
300,cheaper
301,best
302,better
303,easiest
304,best
305,scanner
306,better
307,best
308,least
309,worst
310,gather
311,answer
312,better
313,better
314,larger
315,best
316,worst
317,worst
318,better
319,better
320,best
321,older
322,worse
323,least
324,best
325,least
326,older
327,less
328,worse
329,latter
330,better
331,lower
332,worst
333,sunflower
334,best
335,least
336,latest
337,least
338,worst
339,longer
340,best
341,best
342,headrest
343,least
344,least
345,least
346,easier
347,wasnt
348,headrest
349,slightest
350,headrest
351,worst
352,worst
353,counter
354,newer
355,better
356,larger
357,busiest
358,larger
359,best
360,longer
361,furthest
362,worst
363,worst
364,best
365,older
366,coldest
367,better
368,earlier
369,best
370,best
371,earlier
372,latest
373,worst
374,better
375,headrest
376,worst
377,worst
378,slower
379,bigger
380,best
381,least
382,older
383,better
384,poorer
385,west
386,best
387,better
388,best
389,higher
390,better
391,better
392,best
393,bucharest
394,bucharest
395,worst
396,smaller
397,bucharest
398,best
399,lower
400,lower
401,less
402,cheapest
403,younger
404,latest
405,worst
406,rest
407,poorer
408,best
409,best
410,older
411,worst
412,less
413,least
414,worse
415,best
416,higher
417,newer
418,biggest
419,largest
420,better
421,best
422,larger
423,oldest
424,better
425,worst
426,worse
427,chest
428,worst
429,lower
430,worse
431,worst
432,least
433,breakfast
434,least
435,better
436,older
437,older
438,least
439,least
440,best
441,least
442,better
443,cheaper
444,less
445,less
446,best
447,better
448,older
449,best
450,worst
451,plumpest
452,worst
453,best
454,footrest
455,armrest
456,latest
457,cheaper
458,bucharest
459,smaller
460,headrest
461,best
462,older
463,footrest
464,smaller
465,older
466,slimmer
467,harder
468,shorter
469,fewer
470,best
471,evoucher
472,less
473,happier
474,smaller
475,honest
476,better
477,cheaper
478,least
479,better
480,older
481,best
482,worst
483,best
484,bucharest
485,bucharest
486,less
487,least
488,worse
489,best
490,larger
491,merest
492,best
493,higher
494,worse
495,better
496,worse
497,older
498,larger
499,best
500,cheaper
501,request
502,bucharest
503,best
504,better
505,less
506,luggagecustomer
507,worst
508,better
509,least
510,least
511,best
512,best
513,worst
514,least
515,slightest
516,best
517,best
518,best
519,best
520,loo
521,biggest
522,headrest
523,best
524,least
525,weather
526,best
527,oldest
528,best
529,best
530,honest
531,honest
532,least
533,least
534,worst
535,slower
536,budapest
537,lower
538,lower
539,newer
540,forest
541,best
542,least
543,worst
544,cheaper
545,better
546,better
547,newest
548,shower
549,stranger
550,best
551,least
552,cheapest
553,cheaper
554,best
555,worse
556,less
557,best
558,better
559,better
560,cheaper
561,better
562,answer
563,perrier
564,super
565,larger
566,better
567,smaller
568,longer
569,worst
570,answer
571,better
572,larger
573,better
574,oldest
575,slower
576,less
577,lower
578,smaller
579,smaller
580,finest
581,worst
582,best
583,best
584,least
585,worst
586,cheaper
587,lower
588,less
589,bucharest
590,londonbucharest
591,bucharest
592,best
593,older
594,better
595,least
596,oldest
597,least
598,best
599,better
600,smartest
601,best
602,nosier
603,newer
604,shorter
605,less
606,best
607,hardest
608,honest
609,poorest
610,cheaper
611,lowest
612,larger
613,budapest
614,worst
615,footrest
616,worse
617,smaller
618,longer
