,Sentiment,Score
0,Negative,0.672
1,Negative,0.176
2,Negative,0.21
3,Positive,0.48
4,Negative,0.4
5,Negative,0.545
6,Positive,0.409
7,Negative,0.236
8,Positive,0.291
9,Positive,0.13
10,Negative,0.421
11,Negative,0.282
12,Negative,0.245
13,Negative,0.16
14,Negative,0.204
15,Positive,0.149
16,Negative,0.025
17,Negative,0.314
18,Negative,0.469
19,Negative,0.133
20,Positive,0.074
21,Negative,0.15
22,Negative,0.349
23,Negative,0.301
24,Positive,0.179
25,Negative,0.25
26,Negative,0.167
27,Negative,0.137
28,Negative,0.0
29,Negative,0.0
30,Negative,0.66
31,Negative,0.416
32,Negative,0.196
33,Negative,0.683
34,Positive,0.534
35,Positive,0.249
36,Positive,0.338
37,Positive,0.11
38,Negative,0.138
39,Positive,0.416
40,Negative,0.297
41,Negative,0.203
42,Positive,0.153
43,Positive,0.204
44,Positive,0.202
45,Positive,0.226
46,Positive,0.269
47,Negative,0.131
48,Negative,0.135
49,Positive,0.739
50,Negative,0.195
51,Negative,0.0
52,Negative,0.081
53,Positive,0.228
54,Negative,0.141
55,Positive,0.558
56,Negative,0.233
57,Negative,0.381
58,Negative,0.167
59,Positive,0.145
60,Positive,0.524
61,Positive,0.156
62,Negative,0.096
63,Negative,0.138
64,Negative,0.369
65,Negative,0.145
66,Negative,0.073
67,Negative,0.037
68,Negative,0.0
69,Positive,0.355
70,Positive,0.416
71,Negative,0.0
72,Positive,0.257
73,Positive,0.328
74,Negative,0.15
75,Negative,0.062
76,Positive,0.189
77,Negative,0.191
78,Negative,0.0
79,Positive,0.228
80,Negative,0.552
81,Negative,0.216
82,Negative,0.194
83,Negative,0.091
84,Negative,0.225
85,Positive,0.081
86,Negative,0.207
87,Positive,0.669
88,Negative,0.231
89,Negative,0.29
90,Negative,0.512
91,Negative,0.277
92,Positive,0.132
93,Negative,0.113
94,Negative,0.17
95,Positive,0.296
96,Negative,0.451
97,Positive,0.219
98,Negative,0.0
99,Negative,0.0
100,Positive,0.239
101,Positive,0.116
102,Negative,0.312
103,Positive,0.091
104,Negative,0.291
105,Negative,0.242
106,Positive,0.402
107,Negative,0.221
108,Negative,0.237
109,Negative,0.195
110,Negative,0.338
111,Negative,0.429
112,Positive,0.302
113,Positive,0.283
114,Negative,0.126
115,Negative,0.0
116,Negative,0.283
117,Negative,0.144
118,Negative,0.265
119,Negative,0.307
120,Negative,0.0
121,Negative,0.176
122,Negative,0.184
123,Positive,0.149
124,Positive,0.182
125,Negative,0.136
126,Negative,0.451
127,Positive,0.126
128,Negative,0.314
129,Positive,0.485
130,Negative,0.283
131,Negative,0.302
132,Negative,0.291
133,Positive,0.337
134,Negative,0.367
135,Negative,0.492
136,Positive,0.236
137,Negative,0.158
138,Positive,0.31
139,Negative,0.226
140,Positive,0.172
141,Negative,0.13
142,Negative,0.275
143,Negative,0.126
144,Positive,0.149
145,Negative,0.158
146,Negative,0.545
147,Positive,0.197
148,Negative,0.0
149,Positive,0.169
150,Negative,0.177
151,Negative,0.544
152,Positive,0.213
153,Negative,0.272
154,Negative,0.219
155,Negative,0.296
156,Negative,0.377
157,Negative,0.206
158,Negative,0.12
159,Negative,0.336
160,Negative,0.133
161,Positive,0.193
162,Negative,0.0
163,Positive,0.075
164,Negative,0.274
165,Negative,0.147
166,Positive,0.531
167,Negative,0.333
168,Negative,0.298
169,Positive,0.7
170,Positive,0.144
171,Positive,0.444
172,Negative,0.379
173,Positive,0.426
174,Negative,0.0
175,Positive,0.132
176,Negative,0.277
177,Positive,0.275
178,Positive,0.306
179,Positive,0.395
180,Positive,0.345
181,Positive,0.297
182,Positive,0.598
183,Negative,0.061
184,Positive,0.255
185,Positive,0.272
186,Positive,0.389
187,Negative,0.0
188,Positive,0.142
189,Negative,0.05
190,Negative,0.3
191,Positive,0.175
192,Negative,0.387
193,Positive,0.246
194,Negative,0.0
195,Positive,0.095
196,Negative,0.313
197,Negative,0.106
198,Positive,0.227
199,Negative,0.214
200,Negative,0.371
201,Positive,0.309
202,Positive,0.244
203,Negative,0.219
204,Negative,0.259
205,Negative,0.28
206,Positive,0.167
207,Negative,0.265
208,Positive,0.808
209,Positive,0.22
210,Negative,0.332
211,Negative,0.267
