,Verbs
0,confirmed
1,happened
2,supposed
3,arrived
4,checkedin
5,online
6,evening
7,boarding
8,told
9,connecting
10,cancelled
11,sent
12,regarding
13,tried
14,get
15,evening
16,get
17,following
18,evening
19,miss
20,arrived
21,supposed
22,moving
23,ask
24,assured
25,checking
26,booking
27,noticed
28,london
29,missing
30,booking
31,connecting
32,spending
33,picked
34,proceed
35,gets
36,dropped
37,seems
38,arriving
39,denied
40,boarding
41,heathrow
42,given
43,denied
44,boarding
45,counter
46,said
47,told
48,call
49,reached
50,told
51,booked
52,confirmed
53,began
54,finding
55,expedia
56,april
57,allow
58,routing
59,delay
60,miss
61,missing
62,received
63,staying
64,return
65,began
66,online
67,submitted
68,supporting
69,received
70,email
71,sent
72,received
73,heard
74,shocking
75,received
76,commented
77,think
78,made
79,boarding
80,called
81,agreed
82,check
83,getting
84,crew
85,appearing
86,enjoying
87,seems
88,improved
89,club
90,appears
91,returned
92,seating
93,cramped
94,cancelled
95,crew
96,sent
97,left
98,standing
99,cancelled
100,continue
101,provide
102,baggage
103,delayed
104,fly
105,booked
106,delayed
107,wifi
108,booked
109,scheduled
110,cancelled
111,showed
112,washed
113,telling
114,wanted
115,’
116,provide
117,telling
118,look
119,abandoned
120,tell
121,cancelled
122,ba
123,operating
124,refused
125,rebook
126,given
127,“
128,”
129,provided
130,regarding
131,etc
132,cancellation
133,received
134,notifying
135,rebooked
136,’
137,get
138,showed
139,spent
140,waiting
141,cutting
142,given
143,standing
144,listed
145,booking
146,taking
147,waiting
148,booking
149,stansted
150,operated
151,got
152,provides
153,seating
154,extends
155,makes
156,boarding
157,worked
158,worked
159,got
160,ageing
161,featured
162,flatbed
163,ive
164,seen
165,bas
166,said
167,competing
168,wifi
169,send
170,messaging
171,lacked
172,gets
173,take
174,provides
175,shocking
176,written
177,lies
178,misleading
179,told
180,cancelled
181,booked
182,downgraded
183,called
184,told
185,said
186,take
187,allowed
188,get
189,flying
190,flying
191,made
192,seating
193,sane
194,jam
195,limited
196,expect
197,narrower
198,face
199,raised
200,sized
201,sitting
202,put
203,reached
204,seated
205,middle
206,accessed
207,get
208,set
209,eating
210,flimsy
211,fall
212,redeeming
213,answer
214,avoid
215,care
216,enquiring
217,said
218,seemed
219,racing
220,passed
221,clearing
222,disappeared
223,need
224,used
225,travelling
226,bean
227,lowered
228,paid
229,london
230,excuse
231,arrived
232,find
233,draining
234,placed
235,continued
236,luggage
237,containing
238,wedding
239,bags
240,showed
241,missing
242,made
243,gutwrenching
244,think
245,make
246,refused
247,trusting
248,isnt
249,chose
250,wellbeing
251,fail
252,refuse
253,make
254,err
255,leaving
256,bear
257,regarding
258,ruined
259,coupled
260,took
261,reach
262,dates
263,rebooked
264,forced
265,transferred
266,told
267,checked
268,failed
269,rebooked
270,took
271,bag
272,wifes
273,called
274,cut
275,waiting
276,hold
277,bags
278,showing
279,stated
280,found
281,needed
282,described
283,pink
284,taking
285,ba
286,arrived
287,missing
288,find
289,overnight
290,chicago
291,filed
292,lost
293,purchased
294,chicago
295,went
296,asking
297,ba
298,fixed
299,say
300,reach
301,attempted
302,appeared
303,stood
304,giving
305,delay
306,boarded
307,sitting
308,boarding
309,stated
310,changed
311,meals
312,served
313,received
314,smelt
315,heated
316,served
317,warmed
318,received
319,sent
320,following
321,say
322,cutting
323,paid
324,expect
325,arrived
326,get
327,checked
328,go
329,went
330,boarding
331,opened
332,got
333,called
334,couple
335,boarding
336,started
337,let
338,standing
339,said
340,discovered
341,overbooked
342,getting
343,changed
344,sent
345,connecting
346,going
347,let
348,tried
349,receive
350,got
351,airport
352,going
353,wanted
354,frankfurt
355,went
356,received
357,refunded
358,said
359,going
360,rebook
361,waited
362,email
363,come
364,trying
365,waiting
366,went
367,get
368,receive
369,know
370,happened
371,looked
372,dying
373,attend
374,missed
375,standing
376,counter
377,said
378,said
379,going
380,supposed
381,get
382,written
383,refunded
384,asking
385,flew
386,happened
387,let
388,refund
389,know
390,got
391,appalling
392,dealing
393,paid
394,gave
395,accommodate
396,expect
397,cancelling
398,ba
399,means
400,delays
401,give
402,depending
403,lies
404,expect
405,provide
406,find
407,choose
408,cancelled
409,spend
410,get
411,waiting
412,written
413,call
414,tell
415,taken
416,escalate
417,scheduled
418,received
419,stating
420,canceled
421,given
422,put
423,offered
424,proceeded
425,caused
426,told
427,check
428,following
429,found
430,told
431,check
432,waited
433,checked
434,went
435,offered
436,told
437,incurred
438,connecting
439,offered
440,disorganised
441,avoid
442,find
443,expect
444,seat
445,broken
446,missing
447,sat
448,lay
449,worked
450,cheap
451,lot
452,cabin
453,left
454,wants
455,draw
456,traveling
457,feel
458,traveling
459,crowded
460,passed
461,wasting
462,sharing
463,got
464,delayed
465,missed
466,connecting
467,put
468,reaching
469,told
470,lost
471,look
472,shared
473,cancelled
474,departure
475,given
476,rebooking
477,lost
478,arrived
479,happened
480,rebooking
481,trying
482,ba
483,comes
484,catering
485,reduced
486,dried
487,slice
488,dried
489,serving
490,club
491,get
492,crying
493,club
494,glorified
495,flew
496,a380
497,delayed
498,causing
499,got
500,sat
501,disabled
502,use
503,tasted
504,missed
505,stuck
506,waiting
507,rebooked
508,gave
509,heathrow
510,gave
511,gave
512,check
513,south
514,packed
515,lounge
516,boarded
517,seating
518,beginning
519,aircraft
520,crew
521,seats
522,crew
523,delayed
524,biggie
525,change
526,happened
527,asked
528,check
529,telling
530,prefer
531,reassigned
532,exit
533,row
534,trained
535,made
536,given
537,operated
538,departed
539,arrived
540,served
541,seems
542,failed
543,delayed
544,demanded
545,luggage
546,met
547,ignored
548,lost
549,care
550,connecting
551,insists
552,checking
553,searching
554,updates
555,find
556,missing
557,led
558,leaving
559,turned
560,blamed
561,frankfurt
562,delaying
563,resulted
564,delayed
565,blame
566,delivering
567,sell
568,cabin
569,experienced
570,seating
571,felt
572,done
573,hkg
574,left
575,offering
576,inflight
577,recommend
578,flew
579,enjoyed
580,felt
581,cramped
582,think
583,stepped
584,bedding
585,crew
586,engaged
587,recommend
588,arrived
589,bumped
590,overselling
591,got
592,bus
593,booking
594,sharing
595,stopped
596,selling
597,provides
598,relax
599,delayed
600,featured
601,seating
602,hear
603,suites
604,fitted
605,got
606,iceland
607,got
608,looked
609,took
610,get
611,offered
612,boarding
613,handled
614,club
615,left
616,get
617,made
618,leaves
619,booked
620,scheduled
621,leave
622,planned
623,leaving
624,travelling
625,overnight
626,checked
627,found
628,cancelled
629,connecting
630,booked
631,following
632,make
633,got
634,work
635,made
636,requesting
637,managed
638,find
639,got
640,booked
641,called
642,wanted
643,advised
644,requested
645,used
646,abandoned
647,prepared
648,called
649,made
650,explain
651,want
652,proceed
653,followed
654,refused
655,used
656,used
657,cover
658,happened
659,ended
660,checked
661,get
662,booked
663,closed
664,arrived
665,ended
666,booking
667,place
668,didnt
669,put
670,ba
671,ended
672,compared
673,trying
674,requested
675,calling
676,say
677,done
678,know
679,scrambling
680,find
681,pointed
682,call
683,happens
684,encounter
685,put
686,make
687,mistake
688,save
689,didnt
690,said
691,im
692,friends
693,gone
694,given
695,make
696,used
697,gone
698,used
699,remaining
700,travel
701,fly
702,heading
703,joking
704,heading
705,lost
706,see
707,disaster
708,rude
709,seems
710,entitled
711,raised
712,became
713,going
714,wanted
715,took
716,online
717,spend
718,call
719,provide
720,weekends
721,standing
722,knowing
723,going
724,told
725,wait
726,told
727,leave
728,told
729,cancelled
730,check
731,wait
732,take
733,delayed
734,provided
735,offered
736,paid
737,refunded
738,given
739,prepurchased
740,notified
741,rebooked
742,connecting
743,arrived
744,cancelled
745,rebooking
746,rebooked
747,making
748,rerouted
749,accepted
750,allows
751,transfer
752,let
753,enduring
754,chatted
755,disconnected
756,online
757,proves
758,happen
759,started
760,working
761,studying
762,purchased
763,travel
764,frankfurt
765,entered
766,know
767,cost
768,arriving
769,told
770,change
771,remaining
772,wanted
773,shown
774,offered
775,trusting
776,bought
777,purchased
778,contacted
779,booking
780,informed
781,apologised
782,told
783,changed
784,offered
785,advising
786,told
787,wanted
788,asked
789,accepting
790,denied
791,claiming
792,said
793,claim
794,accepted
795,lodged
796,informed
797,accepted
798,continued
799,stopped
800,responding
801,misled
802,accepting
803,offer
804,keeps
805,thinking
806,get
807,arriving
808,sceens
809,updated
810,requested
811,take
812,help
813,reduce
814,announced
815,returned
816,get
817,resolved
818,announced
819,delay
820,wait
821,rushing
822,sat
823,takes
824,bas
825,uses
826,require
827,embarrassing
828,hearing
829,check
830,avoided
831,chocolate
832,seems
833,bought
834,lukewarm
835,explained
836,supposed
837,understand
838,classified
839,cabin
840,attentive
841,getting
842,used
843,making
844,bring
845,dehydrated
846,faced
847,made
848,tempted
849,overpriced
850,bored
